name,description,minutes,tags,steps,ingredients,Calories,Protein,Fat,Sugar,Sodium,Iron,Vitamin C,Cholesterol,Trans Fat,Calcium
Sushi Rolls,A delicious dish made with Cocoa powder and other ingredients.,20,"General,Recipe,Quick,Vegetarian,Low Fat","Prepare the Tortillas., Prepare the Tortillas., Prepare the Tortillas., Prepare the Tortillas., Prepare the Onions.","Tortillas, Bell peppers, Parmesan cheese, Onions, Salt",477,37,1,21,866,4.46,60,237,4.08,854
Cobb Salad,A delicious dish made with Pepper and other ingredients.,17,"General,Recipe,Quick,Vegetarian","Prepare the Coconut milk., Prepare the Coconut milk., Prepare the Coconut milk., Prepare the Coconut milk., Prepare the Lemon.","Coconut milk, Lemon, Garlic",577,28,31,5,801,3.06,64,146,4.04,880
Fruit Salad,A delicious dish made with Eggs and other ingredients.,51,"General,Recipe,Vegetarian","Prepare the Thyme., Prepare the Broccoli., Prepare the Thyme., Prepare the Broccoli., Prepare the Broccoli.","Broccoli, Thyme, Pepper",458,31,40,22,838,4.68,13,9,0.81,32
Tiramisu,A delicious dish made with Pork and other ingredients.,49,"General,Recipe,Vegetarian","Prepare the Parmesan cheese., Prepare the Salt., Prepare the Tomatoes., Prepare the Parmesan cheese., Prepare the Parmesan cheese.","Salt, Tomatoes, Parmesan cheese",712,38,38,18,915,4.24,46,252,8.62,445
Key Lime Pie,A delicious dish made with Carrots and other ingredients.,30,"General,Recipe,Quick,Low Fat","Prepare the Parmesan cheese., Prepare the Parmesan cheese., Prepare the Tortillas., Prepare the Tortillas., Prepare the Tortillas.","Beef, Sugar, Tortillas, Parmesan cheese",410,36,3,20,674,4.62,90,122,4.13,5
Macaroni and Cheese,A delicious dish made with Cheese and other ingredients.,35,"General,Recipe,Vegetarian","Prepare the Caesar dressing., Prepare the Carrots., Prepare the Basil., Prepare the Parmesan cheese., Prepare the Parmesan cheese.","Cilantro, Caesar dressing, Parmesan cheese, Olive oil, Carrots, Basil",685,27,39,30,1445,1.2,48,46,7.14,140
Chicken Fajitas,A delicious dish made with Eggs and other ingredients.,28,"General,Recipe,Quick,Vegetarian","Prepare the Ginger., Prepare the Caesar dressing., Prepare the Caesar dressing., Prepare the Basil., Prepare the Basil.","Bell peppers, Basil, Caesar dressing, Cocoa powder, Ginger, Garlic",170,29,16,13,390,1.5,89,145,5.36,587
Clam Chowder,A delicious dish made with Rice and other ingredients.,18,"General,Recipe,Quick","Prepare the Flour., Prepare the Beef., Prepare the Shrimp., Prepare the Salt., Prepare the Salt.","Salt, Flour, Shrimp, Onions, Beef, Garlic",383,43,33,19,874,0.24,53,137,6.16,134
Curry Noodles,A delicious dish made with Butter and other ingredients.,53,"General,Recipe,Low Fat","Prepare the Tortillas., Prepare the Onions., Prepare the Lettuce., Prepare the Pork., Prepare the Onions.","Tortillas, Shrimp, Lettuce, Pork, Onions",776,30,14,17,1413,1.28,76,82,7.93,248
Pork Chops,A delicious dish made with Pepper and other ingredients.,18,"General,Recipe,Quick,Vegetarian","Prepare the Chili powder., Prepare the Thyme., Prepare the Thyme., Prepare the Chili powder., Prepare the Sugar.","Chili powder, Sugar, Thyme",177,46,28,20,1185,0.97,20,23,2.92,887
Grilled Vegetables,A delicious dish made with Pasta and other ingredients.,31,"General,Recipe","Prepare the Beef., Prepare the Beef., Prepare the Ginger., Prepare the Cheese., Prepare the Ginger.","Beef, Cheese, Rice, Ginger",616,8,15,26,166,0.15,42,25,0.26,204
Shrimp Fried Rice,A delicious dish made with Croutons and other ingredients.,29,"General,Recipe,Quick,Vegetarian","Prepare the Vegetable broth., Prepare the Vegetable broth., Prepare the Salt., Prepare the Salt., Prepare the Caesar dressing.","Vegetable broth, Salt, Caesar dressing",262,22,22,24,1432,3.03,33,292,2.72,361
Chocolate Chip Cookies,A delicious dish made with Onions and other ingredients.,23,"General,Recipe,Quick,Vegetarian","Prepare the Carrots., Prepare the Croutons., Prepare the Carrots., Prepare the Caesar dressing., Prepare the Croutons.","Croutons, Carrots, Caesar dressing",204,40,37,7,114,2.13,34,237,2.45,131
Vanilla Cupcakes,A delicious dish made with Lettuce and other ingredients.,20,"General,Recipe,Quick,Vegetarian,Low Fat","Prepare the Parmesan cheese., Prepare the Tortillas., Prepare the Tortillas., Prepare the Coconut milk., Prepare the Coconut milk.","Tortillas, Coconut milk, Parmesan cheese, Flour",687,23,9,29,676,2.46,26,71,8.41,760
Broccoli Cheddar Soup,A delicious dish made with Bell peppers and other ingredients.,22,"General,Recipe,Quick,Vegetarian","Prepare the Cheese., Prepare the Balsamic vinegar., Prepare the Soy sauce., Prepare the Balsamic vinegar., Prepare the Soy sauce.","Cheese, Soy sauce, Shrimp, Balsamic vinegar",642,30,30,7,1034,0.98,29,76,5.22,487
Chocolate Mousse,A delicious dish made with Vegetable broth and other ingredients.,53,"General,Recipe,Vegetarian","Prepare the Balsamic vinegar., Prepare the Balsamic vinegar., Prepare the Onions., Prepare the Onions., Prepare the Balsamic vinegar.","Balsamic vinegar, Parmesan cheese, Onions",440,41,23,19,412,3.34,9,4,2.4,862
Beef Wellington,A delicious dish made with Spinach and other ingredients.,32,"General,Recipe","Prepare the Salt., Prepare the Pasta., Prepare the Salt., Prepare the Salt., Prepare the Pasta.","Tomatoes, Beef, Pasta, Salt, Parmesan cheese",483,11,21,22,1108,2.09,64,278,6.19,455
Seafood Paella,A delicious dish made with Butter and other ingredients.,44,"General,Recipe,Vegetarian","Prepare the Ginger., Prepare the Ginger., Prepare the Ginger., Prepare the Ginger., Prepare the Ginger.","Tortillas, Carrots, Ginger, Pepper",719,29,29,23,288,0.33,97,90,8.84,1
Chicken Pot Pie,A delicious dish made with Flour and other ingredients.,32,"General,Recipe,Vegetarian","Prepare the Tortillas., Prepare the Onions., Prepare the Lettuce., Prepare the Onions., Prepare the Balsamic vinegar.","Lettuce, Onions, Tortillas, Olive oil, Rice, Balsamic vinegar",533,31,26,23,833,3.59,91,285,5.91,293
Ramen,A delicious dish made with Balsamic vinegar and other ingredients.,16,"General,Recipe,Quick,Low Fat","Prepare the Chicken., Prepare the Chicken., Prepare the Bell peppers., Prepare the Garlic., Prepare the Bell peppers.","Bell peppers, Garlic, Chicken",779,42,12,2,314,2.15,67,229,5.01,562
Baked Chicken,A delicious dish made with Cumin and other ingredients.,58,"General,Recipe,Vegetarian,Low Fat","Prepare the Bell peppers., Prepare the Flour., Prepare the Basil., Prepare the Bell peppers., Prepare the Bell peppers.","Broccoli, Shrimp, Thyme, Flour, Basil, Bell peppers",355,15,6,13,116,3.73,39,214,2.76,467
Tom Kha Gai,A delicious dish made with Coconut milk and other ingredients.,34,"General,Recipe,Vegetarian","Prepare the Soy sauce., Prepare the Broccoli., Prepare the Broccoli., Prepare the Eggs., Prepare the Soy sauce.","Eggs, Pepper, Soy sauce, Broccoli",474,7,37,21,47,1.72,17,15,1.16,186
Vegetable Lasagna,A delicious dish made with Lemon and other ingredients.,43,"General,Recipe,Vegetarian","Prepare the Cheese., Prepare the Cheese., Prepare the Tortillas., Prepare the Onions., Prepare the Cheese.","Pepper, Onions, Cheese, Tortillas",790,11,30,15,730,3.83,95,44,4.3,459
Pumpkin Soup,A delicious dish made with Shrimp and other ingredients.,43,"General,Recipe,Vegetarian","Prepare the Olive oil., Prepare the Parmesan cheese., Prepare the Olive oil., Prepare the Garlic., Prepare the Olive oil.","Garlic, Cumin, Olive oil, Cocoa powder, Parmesan cheese",322,7,28,23,1297,2.67,81,267,2.36,753
Sweet and Sour Chicken,A delicious dish made with Lemon and other ingredients.,40,"General,Recipe,Low Fat","Prepare the Flour., Prepare the Tortillas., Prepare the Flour., Prepare the Flour., Prepare the Carrots.","Tortillas, Flour, Carrots, Croutons, Beef",298,43,3,4,73,2.67,84,229,2.45,408
Stuffed Mushrooms,A delicious dish made with Spinach and other ingredients.,47,"General,Recipe,Vegetarian","Prepare the Cheese., Prepare the Spinach., Prepare the Spinach., Prepare the Caesar dressing., Prepare the Cheese.","Balsamic vinegar, Caesar dressing, Chili powder, Spinach, Coconut milk, Cheese",259,34,37,20,147,0.24,59,75,1.15,104
Corn Chowder,A delicious dish made with Thyme and other ingredients.,19,"General,Recipe,Quick,Vegetarian,Low Fat","Prepare the Chili powder., Prepare the Salt., Prepare the Salt., Prepare the Salt., Prepare the Chili powder.","Salt, Chili powder, Rosemary",365,17,8,18,1062,1.24,94,190,8.51,261
Peach Cobbler,A delicious dish made with Flour and other ingredients.,45,"General,Recipe,Vegetarian","Prepare the Carrots., Prepare the Bell peppers., Prepare the Cumin., Prepare the Cumin., Prepare the Rice.","Olive oil, Cumin, Carrots, Rice, Bell peppers",786,31,27,11,909,2.82,8,67,6.35,108
Creme Brulee,A delicious dish made with Flour and other ingredients.,33,"General,Recipe","Prepare the Cheese., Prepare the Cheese., Prepare the Chicken., Prepare the Cheese., Prepare the Ginger.","Chicken, Cheese, Chili powder, Ginger, Broccoli, Rice",483,41,23,16,1032,2.81,92,172,2.6,73
Pork Fried Rice,A delicious dish made with Onions and other ingredients.,39,"General,Recipe,Vegetarian","Prepare the Carrots., Prepare the Eggs., Prepare the Tomatoes., Prepare the Carrots., Prepare the Coconut milk.","Tomatoes, Coconut milk, Carrots, Eggs",486,38,17,11,1296,1.13,15,172,5.89,241
Greek Salad,A delicious dish made with Onions and other ingredients.,30,"General,Recipe,Quick,Vegetarian","Prepare the Caesar dressing., Prepare the Cumin., Prepare the Broccoli., Prepare the Caesar dressing., Prepare the Broccoli.","Cumin, Broccoli, Caesar dressing",405,28,30,5,1123,2.57,53,33,5.2,993
Samosas,A delicious dish made with Parmesan cheese and other ingredients.,51,"General,Recipe,Vegetarian,Low Fat","Prepare the Croutons., Prepare the Onions., Prepare the Eggs., Prepare the Carrots., Prepare the Onions.","Croutons, Tomatoes, Carrots, Eggs, Onions, Thyme",606,8,4,12,1231,0.11,45,262,5.2,99
Falafel,A delicious dish made with Chicken and other ingredients.,55,"General,Recipe,Vegetarian","Prepare the Soy sauce., Prepare the Caesar dressing., Prepare the Salt., Prepare the Caesar dressing., Prepare the Salt.","Soy sauce, Caesar dressing, Salt",705,31,30,29,65,4.5,2,240,4.01,991
Tandoori Chicken,A delicious dish made with Broccoli and other ingredients.,48,"General,Recipe,Vegetarian,Low Fat","Prepare the Cheese., Prepare the Cheese., Prepare the Broccoli., Prepare the Cheese., Prepare the Pepper.","Cheese, Broccoli, Pepper",430,36,1,12,1445,3.02,4,140,5.92,77
Egg Drop Soup,A delicious dish made with Pepper and other ingredients.,25,"General,Recipe,Quick,Vegetarian","Prepare the Flour., Prepare the Lettuce., Prepare the Lettuce., Prepare the Rosemary., Prepare the Rosemary.","Flour, Shrimp, Rosemary, Cheese, Lettuce",752,40,38,26,165,1.18,94,64,0.59,204
Beef Enchiladas,A delicious dish made with Pasta and other ingredients.,50,"General,Recipe","Prepare the Cumin., Prepare the Chili powder., Prepare the Ginger., Prepare the Cumin., Prepare the Ginger.","Cumin, Ginger, Chicken, Thyme, Chili powder, Bell peppers",415,23,35,22,528,0.15,98,56,3.34,4
Burrito Bowl,A delicious dish made with Broccoli and other ingredients.,34,"General,Recipe","Prepare the Beef., Prepare the Beef., Prepare the Spinach., Prepare the Vegetable broth., Prepare the Beef.","Spinach, Beef, Vegetable broth",262,10,20,27,1448,3.9,17,213,6.55,184
Seafood Linguine,A delicious dish made with Coconut milk and other ingredients.,25,"General,Recipe,Quick,Vegetarian","Prepare the Lemon., Prepare the Pepper., Prepare the Flour., Prepare the Lemon., Prepare the Pepper.","Lemon, Pepper, Flour",616,46,15,5,85,2.3,75,242,7.04,275
Fish and Chips,A delicious dish made with Basil and other ingredients.,18,"General,Recipe,Quick,Vegetarian","Prepare the Thyme., Prepare the Parmesan cheese., Prepare the Thyme., Prepare the Parmesan cheese., Prepare the Parmesan cheese.","Shrimp, Thyme, Parmesan cheese",310,21,17,12,803,4.45,52,86,5.35,385
Caprese Salad,A delicious dish made with Garlic and other ingredients.,46,"General,Recipe,Vegetarian,Low Fat","Prepare the Soy sauce., Prepare the Broccoli., Prepare the Soy sauce., Prepare the Broccoli., Prepare the Broccoli.","Broccoli, Thyme, Soy sauce, Onions",155,22,1,14,294,3.27,92,229,5.6,622
Buffalo Wings,A delicious dish made with Cheese and other ingredients.,58,"General,Recipe","Prepare the Chicken., Prepare the Balsamic vinegar., Prepare the Balsamic vinegar., Prepare the Balsamic vinegar., Prepare the Pasta.","Cocoa powder, Chicken, Balsamic vinegar, Rosemary, Pasta",294,24,34,12,546,0.48,30,28,9.79,155
Fettuccine Alfredo,A delicious dish made with Cheese and other ingredients.,46,"General,Recipe","Prepare the Lettuce., Prepare the Tortillas., Prepare the Lemon., Prepare the Tortillas., Prepare the Salt.","Rosemary, Tortillas, Lemon, Lettuce, Beef, Salt",489,49,15,4,562,4.57,0,115,7.23,508
Spinach Salad,A delicious dish made with Cumin and other ingredients.,31,"General,Recipe,Vegetarian","Prepare the Bell peppers., Prepare the Bell peppers., Prepare the Ginger., Prepare the Ginger., Prepare the Ginger.","Croutons, Bell peppers, Ginger",191,15,19,5,1104,2.38,10,113,3.41,412
Sausage and Peppers,A delicious dish made with Beef and other ingredients.,50,"General,Recipe","Prepare the Tortillas., Prepare the Beef., Prepare the Tortillas., Prepare the Tortillas., Prepare the Caesar dressing.","Eggs, Beef, Caesar dressing, Tortillas",327,6,22,20,317,3.9,18,39,4.14,88
Teriyaki Chicken,A delicious dish made with Soy sauce and other ingredients.,21,"General,Recipe,Quick,Vegetarian,Low Fat","Prepare the Rosemary., Prepare the Pasta., Prepare the Rosemary., Prepare the Pasta., Prepare the Pasta.","Rosemary, Coconut milk, Pasta",236,6,3,9,916,0.97,84,221,1.94,921
Chicken Marsala,A delicious dish made with Flour and other ingredients.,17,"General,Recipe,Quick,Vegetarian","Prepare the Vegetable broth., Prepare the Cilantro., Prepare the Cilantro., Prepare the Sugar., Prepare the Cilantro.","Basil, Sugar, Rice, Vegetable broth, Cilantro, Caesar dressing",336,25,35,0,822,0.69,45,199,6.71,482
Pork Tenderloin,A delicious dish made with Broccoli and other ingredients.,53,"General,Recipe,Vegetarian,Low Fat","Prepare the Basil., Prepare the Cumin., Prepare the Tomatoes., Prepare the Basil., Prepare the Cumin.","Basil, Cumin, Tomatoes",740,38,4,16,841,0.64,51,222,2.92,297
Beef Meatballs,A delicious dish made with Cheese and other ingredients.,27,"General,Recipe,Quick,Vegetarian","Prepare the Tomatoes., Prepare the Cilantro., Prepare the Soy sauce., Prepare the Rosemary., Prepare the Rosemary.","Tomatoes, Cilantro, Rosemary, Cheese, Soy sauce",170,36,36,5,1216,1.92,19,63,5.74,671
Sushi Bowl,A delicious dish made with Cumin and other ingredients.,16,"General,Recipe,Quick,Vegetarian","Prepare the Lemon., Prepare the Broccoli., Prepare the Broccoli., Prepare the Lemon., Prepare the Pasta.","Lemon, Broccoli, Pasta",181,47,33,13,974,0.41,59,214,7.18,201
Nicoise Salad,A delicious dish made with Lettuce and other ingredients.,48,"General,Recipe,Vegetarian,Low Fat","Prepare the Flour., Prepare the Caesar dressing., Prepare the Flour., Prepare the Butter., Prepare the Vegetable broth.","Butter, Vegetable broth, Flour, Caesar dressing",518,34,14,27,583,3.46,94,261,4.69,202
Bangers and Mash,A delicious dish made with Lemon and other ingredients.,49,"General,Recipe,Vegetarian","Prepare the Cilantro., Prepare the Garlic., Prepare the Coconut milk., Prepare the Cilantro., Prepare the Coconut milk.","Garlic, Coconut milk, Cilantro",768,44,25,27,1066,4.1,42,264,5.58,782
Beef and Broccoli,A delicious dish made with Rosemary and other ingredients.,60,"General,Recipe,Low Fat","Prepare the Thyme., Prepare the Tortillas., Prepare the Tortillas., Prepare the Tortillas., Prepare the Tortillas.","Croutons, Tortillas, Chili powder, Thyme, Pork, Ginger",521,19,9,17,338,0.47,10,260,5.97,252
Chicken Katsu,A delicious dish made with Sugar and other ingredients.,18,"General,Recipe,Quick,Low Fat","Prepare the Bell peppers., Prepare the Bell peppers., Prepare the Sugar., Prepare the Bell peppers., Prepare the Sugar.","Bell peppers, Rosemary, Eggs, Chicken, Sugar",526,31,14,20,636,0.7,81,228,1.03,211
Vegetable Curry,A delicious dish made with Soy sauce and other ingredients.,30,"General,Recipe,Quick","Prepare the Beef., Prepare the Olive oil., Prepare the Olive oil., Prepare the Beef., Prepare the Broccoli.","Balsamic vinegar, Rosemary, Broccoli, Pepper, Beef, Olive oil",521,39,32,0,263,0.98,15,125,5.29,865
Eggplant Rollatini,A delicious dish made with Garlic and other ingredients.,41,"General,Recipe","Prepare the Flour., Prepare the Cheese., Prepare the Cheese., Prepare the Beef., Prepare the Onions.","Onions, Cheese, Beef, Flour, Lemon",391,11,32,11,238,2.39,55,243,7.94,700
Chili Mac,A delicious dish made with Vegetable broth and other ingredients.,51,"General,Recipe,Vegetarian","Prepare the Vegetable broth., Prepare the Chili powder., Prepare the Chili powder., Prepare the Rosemary., Prepare the Basil.","Flour, Vegetable broth, Chili powder, Basil, Rosemary, Eggs",453,28,31,28,1449,3.31,64,50,2.05,927
Quinoa Salad,A delicious dish made with Croutons and other ingredients.,52,"General,Recipe,Vegetarian","Prepare the Caesar dressing., Prepare the Caesar dressing., Prepare the Tortillas., Prepare the Eggs., Prepare the Eggs.","Eggs, Tortillas, Caesar dressing",611,31,23,22,246,2.1,50,143,6.18,468
Grilled Shrimp,A delicious dish made with Pork and other ingredients.,15,"General,Recipe,Quick,Vegetarian,Low Fat","Prepare the Tortillas., Prepare the Tortillas., Prepare the Tortillas., Prepare the Tortillas., Prepare the Vegetable broth.","Caesar dressing, Vegetable broth, Tortillas",349,33,8,23,259,0.71,52,242,1.23,466
Tuna Salad,A delicious dish made with Rosemary and other ingredients.,40,"General,Recipe,Vegetarian","Prepare the Spinach., Prepare the Soy sauce., Prepare the Olive oil., Prepare the Spinach., Prepare the Rosemary.","Rosemary, Spinach, Olive oil, Soy sauce",335,16,32,12,611,0.9,99,49,4.06,865
Potato Salad,A delicious dish made with Rice and other ingredients.,42,"General,Recipe,Vegetarian","Prepare the Tomatoes., Prepare the Ginger., Prepare the Eggs., Prepare the Ginger., Prepare the Cheese.","Tomatoes, Cheese, Eggs, Ginger",188,49,22,3,1450,4.66,80,220,5.0,542
